feature,importance
incident_type_Suspicious Package,0.18556868199165358
incident_type_Door Forced Open,0.15638572855336408
incident_type_Lost Badge,0.14462083552341917
incident_type_Visitor Policy Violation,0.1206538149681033
incident_type_CCTV False Alarm,0.11839984118431986
incident_type_CCTV Offline,0.11532739984189909
incident_type_Tailgating,0.021287701017356983
month,0.016103043030391725
incident_type_Emergency Exit Misuse,0.01524310381564862
incident_type_Unauthorized Access,0.012216637204372053
incident_type_Badge Misuse,0.009824429890348459
incident_type_Suspicious Person,0.004655354802667487
day_of_week_Tuesday,0.004339938934494801
shift_Night,0.004151522665539113
visitor_No,0.004071295741517495
visitor_Yes,0.004022909717214254
day_of_week_Monday,0.003952327045068193
day_of_week_Friday,0.003930548003743262
shift_Evening,0.003842510248006431
site_Sydney,0.003703075172971992
badge_access_Yes,0.00367193007990894
shift_Day,0.0036261475205148666
badge_access_No,0.0035532820661539686
site_Austin,0.0031109234364120977
site_Tokyo,0.0030644922652755544
cctv_alert_No,0.003047747901753278
site_Singapore,0.002990357365644867
day_of_week_Thursday,0.0026701057278008845
day_of_week_Saturday,0.00256596344415392
is_weekend,0.002553641879726192
cctv_alert_Yes,0.002470416055944759
site_Dublin,0.0023553682694451863
site_Bangalore,0.002319203731020739
day_of_week_Wednesday,0.0022646638328177354
day_of_week_Sunday,0.002191377935557897
site_Berlin,0.0020852912855288874
site_London,0.0018420743326725527
badge_access_N/A,0.0013163135175675146
